object_id,color_1,closest_1,color_2,closest_2,color_3,closest_3,color_4,closest_4,color_5,closest_5,palette,url
18103341,#2f2426,#2f4f4f,#b2ab97,#a9a9a9,#ccd7d7,#d3d3d3,#614439,#556b2f,#7a6759,#696969,css3,http://images.collection.cooperhewitt.org/37_684cb896dd47bceb_z.jpg
18103347,#bab4a1,#a9a9a9,#5c483b,#556b2f,#7c6854,#696969,#2a1a15,#000000,,,css3,http://images.collection.cooperhewitt.org/38_7db9c05da55ca0c4_z.jpg
18102967,#91826e,#808080,#6f6454,#696969,,,,,,,css3,http://images.collection.cooperhewitt.org/42_a164596dc9b98b35_z.jpg
18102975,#70645d,#696969,#4d4444,#2f4f4f,#d0d6e7,#dcdcdc,#a4948f,#bc8f8f,,,css3,http://images.collection.cooperhewitt.org/43_c3b614bba0f25e67_z.jpg
18102981,#aca2b1,#a9a9a9,#7a6e73,#696969,#564e54,#696969,#cac8db,#d3d3d3,#322b35,#2f4f4f,css3,http://images.collection.cooperhewitt.org/44_e18faf4ac0eb1010_z.jpg
18102989,#aca2b1,#a9a9a9,#7a6e73,#696969,#564e54,#696969,#cac8db,#d3d3d3,#322b35,#2f4f4f,css3,http://images.collection.cooperhewitt.org/45_e18faf4ac0eb1010_z.jpg
18102995,#aca2b1,#a9a9a9,#7a6e73,#696969,#564e54,#696969,#cac8db,#d3d3d3,#322b35,#2f4f4f,css3,http://images.collection.cooperhewitt.org/46_e18faf4ac0eb1010_z.jpg
18103003,#aca2b1,#a9a9a9,#7a6e73,#696969,#564e54,#696969,#cac8db,#d3d3d3,#322b35,#2f4f4f,css3,http://images.collection.cooperhewitt.org/47_e18faf4ac0eb1010_z.jpg
18103057,#9f9389,#bc8f8f,#7f736a,#696969,#625249,#556b2f,,,,,css3,http://images.collection.cooperhewitt.org/48_6b6f22b9db26e19c_z.jpg
18103065,#bdb6ab,#c0c0c0,#817064,#696969,#a4907f,#bc8f8f,#c6d0d1,#d3d3d3,,,css3,http://images.collection.cooperhewitt.org/49_fe3b469fea6a842e_z.jpg
18102831,#9f8c85,#bc8f8f,#7b6c68,#696969,#5e5153,#696969,#b5a9af,#a9a9a9,,,css3,http://images.collection.cooperhewitt.org/52_921fd74d5e36e614_z.jpg
18102837,#d6dcef,#dcdcdc,,,,,,,,,css3,http://images.collection.cooperhewitt.org/53_944167d1628af032_z.jpg
18102903,#cec6b8,#c0c0c0,#9a8e95,#bc8f8f,#5f5547,#556b2f,#bb9963,#bdb76b,#a48275,#bc8f8f,css3,http://images.collection.cooperhewitt.org/56_275bf112366c93aa_z.jpg
18102923,#afa7b8,#a9a9a9,#787077,#808080,,,,,,,css3,http://images.collection.cooperhewitt.org/57_6cfeeb2420d9d54e_z.jpg
18102929,#a79ba6,#a9a9a9,#8d7e83,#808080,,,,,,,css3,http://images.collection.cooperhewitt.org/58_8660730f2706e278_z.jpg
18102947,#b1a7b1,#a9a9a9,#9a8483,#808080,#73615f,#696969,,,,,css3,http://images.collection.cooperhewitt.org/59_2e052017d714815c_z.jpg
18104735,#3c4656,#2f4f4f,#5e707f,#696969,#928b95,#778899,#6c666b,#696969,#141c2f,#000000,css3,http://images.collection.cooperhewitt.org/60_069fb36037656eec_z.jpg
18104185,#947e6e,#808080,#ceb1a0,#d2b48c,#232d4d,#2f4f4f,#454a60,#2f4f4f,#a19794,#bc8f8f,css3,http://images.collection.cooperhewitt.org/61_414c03ec85852574_z.jpg
18105093,#8e8879,#808080,#786557,#696969,#514d49,#2f4f4f,,,,,css3,http://images.collection.cooperhewitt.org/75_6f3ad6d7d70f926a_z.jpg
18105099,#8f8b82,#808080,#716d67,#696969,#8d7161,#808080,#554a49,#2f4f4f,,,css3,http://images.collection.cooperhewitt.org/76_ff96a947dadcf931_z.jpg
18105695,#9e9185,#bc8f8f,#644c45,#556b2f,#8c7463,#808080,#403c41,#2f4f4f,,,css3,http://images.collection.cooperhewitt.org/79_4f0056734100df93_z.jpg
18105707,#85817a,#808080,#a68974,#bc8f8f,#604944,#556b2f,#403a41,#2f4f4f,,,css3,http://images.collection.cooperhewitt.org/80_ca2c37ff4fcfbbe5_z.jpg
18105715,#705a4e,#696969,#797163,#696969,#949084,#808080,,,,,css3,http://images.collection.cooperhewitt.org/81_798f188d2fd0461a_z.jpg
18105829,#a46a48,#a0522d,#2c1618,#000000,#7d4a2f,#8b4513,#5b2d1e,#8b4513,#4e3d35,#2f4f4f,css3,http://images.collection.cooperhewitt.org/84_1dc8f7f74b3e7413_z.jpg
18125541,#dfe1f5,#e6e6fa,#9f8880,#808080,#5c483f,#556b2f,#806d63,#696969,,,css3,http://images.collection.cooperhewitt.org/87_014ac33e93fc9feb_z.jpg
18125547,#e9e6fc,#e6e6fa,#97878d,#808080,#846a6c,#696969,#644f51,#696969,#433239,#2f4f4f,css3,http://images.collection.cooperhewitt.org/88_a40d5603f31e27f6_z.jpg
18125559,#9fb2c8,#b0c4de,#8e8683,#808080,,,,,,,css3,http://images.collection.cooperhewitt.org/89_f1d6f4dbcbac4e65_z.jpg
18125587,#ae938d,#bc8f8f,#d5b5b5,#c0c0c0,#8a726d,#808080,#635859,#696969,#463a41,#2f4f4f,css3,http://images.collection.cooperhewitt.org/91_75165828374ea8fe_z.jpg
18125595,#bea9a5,#a9a9a9,#98827e,#808080,#614747,#556b2f,#876565,#696969,#cbe1e6,#dcdcdc,css3,http://images.collection.cooperhewitt.org/93_3db147141ef36215_z.jpg
18125633,#717f90,#708090,#8c9cb1,#a9a9a9,#4c5260,#2f4f4f,#1f202f,#2f4f4f,,,css3,http://images.collection.cooperhewitt.org/94_921b8f21c80ec75c_z.jpg
18125637,#a4b0c0,#a9a9a9,#7e909f,#778899,#1c2330,#2f4f4f,#5f6b72,#696969,,,css3,http://images.collection.cooperhewitt.org/95_82be83be8beb5ed1_z.jpg
18125645,#8d9bae,#a9a9a9,#242635,#2f4f4f,#695c6a,#696969,#484d57,#2f4f4f,,,css3,http://images.collection.cooperhewitt.org/96_deee036a3ed3444b_z.jpg
18125653,#848d9a,#778899,#a5afc0,#a9a9a9,#5d5b62,#696969,,,,,css3,http://images.collection.cooperhewitt.org/97_8033e563fee4ff15_z.jpg
